Date,Description,Original Description,Amount,Transaction Type
09/29/2025, UT H&F FOOD SERVICE 200 WEST DEAN KEATON AUSTIN 78712 TX USA 2% $0.08 , UT H&F FOOD SERVICE 200 WEST DEAN KEATON AUSTIN 78712 TX USA 2% $0.08 ,$3.95,debit
09/29/2025, UT H&F FOOD SERVICE 200 WEST DEAN KEATON AUSTIN 78712 TX USA 2% $0.18 , UT H&F FOOD SERVICE 200 WEST DEAN KEATON AUSTIN 78712 TX USA 2% $0.18 ,$8.81,debit
10/01/2025, 7-ELEVEN 23295 411 W MLK JR BLVD AUSTIN 78701 TX USA 2% $0.10 , 7-ELEVEN 23295 411 W MLK JR BLVD AUSTIN 78701 TX USA 2% $0.10 ,$4.97,debit
10/03/2025, UT H&F FOOD SERVICE 200 WEST DEAN KEATON AUSTIN 78712 TX USA 2% $0.28 , UT H&F FOOD SERVICE 200 WEST DEAN KEATON AUSTIN 78712 TX USA 2% $0.28 ,$14.00,debit
10/06/2025, A.E. Pharmacy LLC 440 Terry Ave N Amzn.com/bill98109 WA USA 1% $0.01 , A.E. Pharmacy LLC 440 Terry Ave N Amzn.com/bill98109 WA USA 1% $0.01 ,$1.48,debit
10/06/2025, WHATABURGER 992 2800 GUADALUPE AUSTIN 78705 TX USA 2% $0.28 , WHATABURGER 992 2800 GUADALUPE AUSTIN 78705 TX USA 2% $0.28 ,$13.95,debit
10/08/2025, FIV*RIO MART 2101 RIO GRANDE ST # 1002 AUSTIN 78705 TX USA 2% $0.07 , FIV*RIO MART 2101 RIO GRANDE ST # 1002 AUSTIN 78705 TX USA 2% $0.07 ,$3.56,debit
10/09/2025, UT H&F FOOD SERVICE 200 WEST DEAN KEATON AUSTIN 78712 TX USA 2% $0.28 , UT H&F FOOD SERVICE 200 WEST DEAN KEATON AUSTIN 78712 TX USA 2% $0.28 ,$14.21,debit
10/09/2025, FIV*RIO MART 2101 RIO GRANDE ST # 1002 AUSTIN 78705 TX USA 2% $0.09 , FIV*RIO MART 2101 RIO GRANDE ST # 1002 AUSTIN 78705 TX USA 2% $0.09 ,$4.32,debit
10/12/2025, TSO CHINESE CHERRYWOOD1205 SHELDON CV STE G AUSTIN 78759 TX USA 2% $0.62 , TSO CHINESE CHERRYWOOD1205 SHELDON CV STE G AUSTIN 78759 TX USA 2% $0.62 ,$31.23,debit
10/13/2025, UT H&F FOOD SERVICE 200 WEST DEAN KEATON AUSTIN 78712 TX USA 2% $0.24 , UT H&F FOOD SERVICE 200 WEST DEAN KEATON AUSTIN 78712 TX USA 2% $0.24 ,$11.94,debit
10/14/2025, UT H&F FOOD SERVICE 200 WEST DEAN KEATON AUSTIN 78712 TX USA 2% $0.26 , UT H&F FOOD SERVICE 200 WEST DEAN KEATON AUSTIN 78712 TX USA 2% $0.26 ,$13.02,debit
10/16/2025," IC* WWW.ICOICE.COM 90 State Street Ste 700 Office 40 Albany, NY NEW YORK 12207 NY 2% $1.48 "," IC* WWW.ICOICE.COM 90 State Street Ste 700 Office 40 Albany, NY NEW YORK 12207 NY 2% $1.48 ",$74.00,debit
10/16/2025, WHATABURGER 992 2800 GUADALUPE AUSTIN 78705 TX USA 2% $0.29 , WHATABURGER 992 2800 GUADALUPE AUSTIN 78705 TX USA 2% $0.29 ,$14.60,debit
10/18/2025, TSO CHINESE CHERRYWOOD1205 SHELDON CV STE G AUSTIN 78759 TX USA 2% $0.57 , TSO CHINESE CHERRYWOOD1205 SHELDON CV STE G AUSTIN 78759 TX USA 2% $0.57 ,$28.58,debit
10/21/2025, FIV*RIO MART 2101 RIO GRANDE ST # 1002 AUSTIN 78705 TX USA 2% $0.40 , FIV*RIO MART 2101 RIO GRANDE ST # 1002 AUSTIN 78705 TX USA 2% $0.40 ,$19.97,debit
10/24/2025, GOODWILL 1226 5555 N LAMAR BLVD B100 AUSTIN 78751 TX USA 2% $0.37 , GOODWILL 1226 5555 N LAMAR BLVD B100 AUSTIN 78751 TX USA 2% $0.37 ,$18.38,debit
10/25/2025, SQ *USA HALAL 303 w Martin Luther King jr blvd AUSTIN 78701 TX USA 2% $0.34 , SQ *USA HALAL 303 w Martin Luther King jr blvd AUSTIN 78701 TX USA 2% $0.34 ,$17.14,debit
10/25/2025, DOMINOS 8195 4631 AIRPORT BLVD STE 124 AUSTIN 78751 TX USA 2% $0.52 , DOMINOS 8195 4631 AIRPORT BLVD STE 124 AUSTIN 78751 TX USA 2% $0.52 ,$26.05,debit
10/29/2025, DOMINOS 6601 1900 GUADALUPE ST AUSTIN 78705 TX USA 2% $0.96 , DOMINOS 6601 1900 GUADALUPE ST AUSTIN 78705 TX USA 2% $0.96 ,$48.00,debit
12/11/2024, Apple Online Store Cupertino CA , Apple Online Store Cupertino CA ,$499.00,debit
