Date,Amount,Status,Balance,Description
11/03/2025,-83.88,*,1439.32,BPS*BILT RENT NEW YORK NY
11/01/2025,-1240.00,*,1523.20,BPS*BILT RENT NEW YORK NY
10/30/2025,-19.27,*,2763.20,SQ *EPOCH COFFEE AUSTIN TX
10/29/2025,-14.70,*,2782.47,RAISING CANES 0140 AUSTIN TX
10/27/2025,-15.36,*,2797.17,WHATABURGER 992 AUSTIN TX
10/24/2025,-10.83,*,2812.53,IN-N-OUTAUSTINGUADALUP AUSTIN TX
10/23/2025,-18.38,*,2823.36,TACO SHACK 1-1 AUSTIN TX
10/20/2025,-50.36,*,2841.74,TEMU.COM 13024806118 MA
10/20/2025,-15.47,*,2892.10,WHATABURGER 992 AUSTIN TX
10/19/2025,-62.44,*,2907.57,TST*CITIZENS - AUSTIN AUSTIN TX
10/18/2025,-38.02,*,2970.01,BPS*BILT RENT NEW YORK NY
10/16/2025,1310.01,*,3008.03,AUTOMATIC PAYMENT - THANK YOU
10/07/2025,-13.95,*,1698.02,WHATABURGER 992 AUSTIN TX
10/02/2025,-102.96,*,1711.97,BPS*BILT RENT NEW YORK NY
10/01/2025,-1240.00,*,1814.93,BPS*BILT REWARDS B1 NEW YORK NY
09/21/2025,44.54,*,3054.93,BILTPROTECT RENT ACH CREDIT
09/20/2025,-44.54,*,3010.39,BPS*BILT REWARDS A NEW YORK NY
09/16/2025,63.83,*,3054.93,AUTOMATIC PAYMENT - THANK YOU
09/15/2025,-13.41,*,2991.10,KFC G135525 AUSTIN TX
09/04/2025,110.22,*,3004.51,BILTPROTECT RENT ACH CREDIT
09/03/2025,-110.22,*,2894.29,BPS*BILT REWARDS A NEW YORK NY
09/02/2025,-19.96,*,3004.51,TACO BELL #030129 AUSTIN TX
09/01/2025,-1240.00,*,3024.47,BPS*BILT REWARDS B1 NEW YORK NY
09/01/2025,-21.08,*,4264.47,DOMINOS 8195 AUSTIN TX
08/24/2025,-15.56,*,4285.55,SQ *ARWA YEMENI COFFEE AUSTIN TX
08/22/2025,47.08,*,4301.11,BILTPROTECT RENT ACH CREDIT
08/21/2025,-47.08,*,4254.03,BPS*BILT REWARDS A NEW YORK NY
08/19/2025,-11.71,*,4301.11,UT H&F FOOD SERVICE AUSTIN TX
08/17/2025,-13.82,*,4312.82,TACO BELL #030157 AUSTIN TX
08/03/2025,92.20,*,4326.64,BILTPROTECT RENT ACH CREDIT
08/02/2025,-92.20,*,4234.44,BPS*BILT REWARDS A NEW YORK NY
